Run,Program Version,User,Time Started (UTC),Time Finished (UTC),Minutes Spent,Position,Points,testing question? (8vufenf),"Have you noticed surveillance technologies in your neighborhood that were installed by the government, police, or private businesses (not personal home cameras like Ring or Nest)? (lw3083d)",What is your ZIP code? (7bepp7b),participantID,assignmentID,projectID,startedAt,computerCountry,computerID,device,Which of the following surveillance tools have you heard of or seen in your city? (Select all that apply) (8dl9hmt),"How concerned are you about surveillance technology in public spaces like streets, sidewalks, or public transit? (n15scu9)",How often do you notice surveillance cameras or sensors in your neighborhood or daily routine? (6itkmu),How familiar are you with how automatic license plate reader (ALPR) cameras work? (724al0n),"After being approved by local governments, private companies like Flock Safety install Automatic License Plate Reader (ALPR) cameras in neighborhoods and share data with police. Before today, how aware were you of that fact? (50mnfkf)","In some Bay Area cities, Automatic License Plate Reader (ALPR) cameras store an image of your license plate, vehicle make and model, and location in a searchable database for up to 12 months every time you drive past one. Before today, how aware were you of that fact? (6s6r3ex)","Police can search the Automatic License Plate Reader (ALPR) database for your data without a warrant or approval from any other organization. Before today, how aware were you of that fact? (zke2ete)","Police can legally share your license plate Automatic License Plate Reader (ALPR) data with other local governments/police departments within California at any time without a warrant. Before today, how aware were you of that fact? (skzr4a8)","The image above shows locations and number of Automatic License Plate Reader (ALPR) cameras in the Bay Area reported by residents. Actual locations and counts may vary, but there is likely to be more installed than shown in the image. Before today, how aware were you of the number of ALPR cameras in the Bay Area? (3eg0nl6)",How supportive are you of Automatic License Plate Reader (ALPR) cameras installed by local governments and used by law enforcement? (y7ka0mc),How supportive are you of private individuals or businesses installing Automatic License Plate Reader (ALPR) cameras and sharing the data voluntarily with police? (uktyzgu),Have you ever felt uncomfortable or treated unfairly due to surveillance technology? (5bdjc2c),"veiHow concerned are you that surllance technologies may harm others (e.g., unhoused people, immigrants, protesters), even if they don’t affect you personally? (gvrrsub)",Do you believe surveillance is being used more for public safety or social control? (cfu4j56),Which of the following groups should have access to surveillance data? (Select all that apply) (bgnrn84),Who do you trust to make decisions about how surveillance is used in your city? (Select all that apply) (w02ux9i),How important is it to you that the public has input or oversight before new surveillance technologies are adopted? (ttzmqna),"How likely do you think it is that police would share Automatic License Plate Reader (ALPR) data with federal agencies, even if not legally allowed? (gnnu4ft)",It’s okay for police to track and store the location data of people who haven’t done anything wrong. (nd9oynf),"Surveillance technologies such as ALPRs disproportionately impact marginalized communities (e.g., by race, income, housing status, or immigration status)? (f1j1olu)",Surveillance technologies such as ALPRs increase public safety. (u84m4pd),What should be done about ALPRs in your city? Select all that apply (vwzlz5r),What is your race or ethnicity? (Select all that apply) (d8morv7),How did you find this survey? (yyxwhnl),age,gender,education,yearOfBirth,educationScore,politicalViews,householdIncome,femaleAs1MaleAs0,politicalLiberalness,householdIncomeScore,householdIncomeEstimate,How did surveillance make you feel or impact you? (urjiu1g),How concerned are you about local Automatic License Plate Reader (ALPR) data being shared with federal agencies like ICE or the FBI? (izclv6s),The San Francisco Standard recently reported that the San Francisco and Oakland Police Departments shared Automatic License Plate Reader (ALPR) data with federal agencies like ICE — in violation of state law. How concerned does this make you feel? (dgwct6r)
16275359,38,,2025-08-14 8:44:50,,9.27,7h99xur,0,,Yes,94044,pa55f274d,pb6fa1dd9,pffe2652f,2025/08/14 1:41 AM,United States,20156152bd86d43528df4a59d9e8df8462d6063b,smartphone,"Drones,Facial recognition technology,Speed Cameras",3 = Moderately concerned,5 = All the time,2 = Slightly familiar,2 = Slightly aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,2 = Slightly aware,2 = Somewhat oppose,1 = Strongly oppose,Yes,1 = Not concerned at all,4 = Mostly for social control,"Police,Federal Government,No one — it shouldn’t be collected",Trust none; I tolerate it.,5 = Absolutely essential,5 = Very likely,1 = Strongly disagree,3 = Neutral,2 = Somewhat disagree,"Reduce use,Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval","Asian or Pacific Islander,White",FreeCash,31,female,completedAssociateDegreeOnly,1994,4,Moderate,"$200,000 or more",1,0,8,225000,It has a time and place I believe. The home security we have installed has been carefully placed on viewing our property only. We don’t want to have to deal with subpoenas to release private footage so we don’t monitor the public spaces around our house.,3 = Moderately concerned,5 = Extremely concerned
16275367,38,,2025-08-14 8:45:41,,5.08,7h99xur,0,,No,94131,pb1bc4333,pcee05ae7,pffe2652f,2025/08/14 1:40 AM,United States,7d2c992c113dbe5006d0cad9ecc3e61a39e7cdae,tablet,"Surveillance/security cameras,Speed Cameras",1 = Not at all concerned,2 = Rarely,2 = Slightly familiar,2 = Slightly aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,3 = Neutral / Not sure,2 = Somewhat oppose,No,3 = Moderately concerned,3 = Equally both,Police,Police department,3 = Moderately important,3 = Unsure,1 = Strongly disagree,4 = Somewhat agree,3 = Neutral,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency",White,From my points survey site,77,male,completedBachelorsDegree,1948,5,Very liberal,"$85,000 to $114,999",0,2,5,100000,,3 = Moderately concerned,4 = Very concerned
16275370,38,,2025-08-14 8:47:05,,5.3,7h99xur,0,,Yes,95687,pc85765b5,pab0990e0,pffe2652f,2025/08/14 1:45 AM,United States,0544673a27c3bf804894cc421a8d4d8acba8b28d,desktop,"Surveillance/security cameras,Speed Cameras",5 = Extremely concerned,4 = Often,5 = Extremely familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Strongly oppose,1 = Strongly oppose,Yes,3 = Moderately concerned,4 = Mostly for social control,No one — it shouldn’t be collected,Community members,5 = Absolutely essential,5 = Very likely,1 = Strongly disagree,4 = Somewhat agree,1 = Strongly disagree,Ban them,White,mypoints,59,female,completedTradeTechicalVocationalTraing,1966,3,Liberal,"$150,000 to $199,999",1,1,7,175000,gave me a ticket when I shouldn't have gotten one,3 = Moderately concerned,5 = Extremely concerned
16275376,38,,2025-08-14 8:49:08,,8.58,7h99xur,0,,No,94509,pbd4e8cea,pacc27005,pffe2652f,2025/08/14 1:43 AM,United States,5ae6a105d1eea5f000dd54e792ee0b9db7e12ab5,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Drones,Facial recognition technology,ShotSpotter or gunshot detection,Speed Cameras",1 = Not at all concerned,2 = Rarely,3 = Somewhat familiar,3 = Somewhat aware,3 = Somewhat aware,4 = Very aware,4 = Very aware,2 = Slightly aware,5 = Strongly support,4 = Somewhat support,No,1 = Not concerned at all,2 = Mostly for public safety,"Police,Local government,Federal Government",Police department,2 = Slightly important,3 = Unsure,4 = Somewhat agree,1 = Strongly disagree,5 = Strongly agree,Increase use,"Native American or Indigenous,White",Survey junkie,68,male,completedAssociateDegreeOnly,1957,4,Conservative,"$60,000 to $84,999",0,-1,4,72500,,1 = Not at all concerned,1 = Not at all concerned
16275377,38,,2025-08-14 8:49:19,,4.25,7h99xur,0,,Yes,94803,pc4e92ec8,pa7006ffe,pffe2652f,2025/08/14 1:46 AM,United States,899aa86a04ec556d2d6888f1288d9711eb1272d2,smartphone,"Surveillance/security cameras,Drones,Speed Cameras",3 = Moderately concerned,4 = Often,2 = Slightly familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,2 = Somewhat oppose,1 = Strongly oppose,Yes,4 = Very concerned,4 = Mostly for social control,No one — it shouldn’t be collected,"Community organizations,Community members",4 = Very important,4 = Likely,1 = Strongly disagree,4 = Somewhat agree,2 = Somewhat disagree,Ban them,Hispanic or Latino,Survey app,34,female,completedTradeTechicalVocationalTraing,1991,3,Moderate,"$40,000 to $59,999",1,0,3,50000,Like my privacy was invaded,4 = Very concerned,5 = Extremely concerned
16275394,38,,2025-08-14 8:52:13,,4.7,7h99xur,0,,Yes,95127,pb5bcace2,pb2b7ec85,pffe2652f,2025/08/14 1:50 AM,United States,34045a2fc10e09169781764d7507b494d15f818e,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Drones,Facial recognition technology,ShotSpotter or gunshot detection,Speed Cameras",3 = Moderately concerned,3 = Sometimes,3 = Somewhat familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,2 = Slightly aware,4 = Somewhat support,4 = Somewhat support,No,1 = Not concerned at all,3 = Equally both,"Police,Federal Government","Community organizations,Community members",4 = Very important,3 = Unsure,3 = Neutral,3 = Neutral,4 = Somewhat agree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval,Increase use",Asian or Pacific Islander,App,40,male,completedOnlyHighSchoolOrTheEquivalent,1985,2,Moderate,"$200,000 or more",0,0,8,225000,,2 = Slightly concerned,2 = Slightly concerned
16275405,38,,2025-08-14 8:57:01,,8.68,7h99xur,0,,No,94973,pa6ba883e,pf7f785fe,pffe2652f,2025/08/14 1:51 AM,United States,ff5838e304392b305831665c3e570d0c1632b04f,smartphone,Speed Cameras,3 = Moderately concerned,2 = Rarely,3 = Somewhat familiar,3 = Somewhat aware,1 = Not at all aware,2 = Slightly aware,1 = Not at all aware,1 = Not at all aware,1 = Strongly oppose,1 = Strongly oppose,No,3 = Moderately concerned,3 = Equally both,No one — it shouldn’t be collected,Police department,3 = Moderately important,3 = Unsure,2 = Somewhat disagree,4 = Somewhat agree,2 = Somewhat disagree,"Reduce use,Require more transparency",White,Zap,72,male,completedBachelorsDegree,1953,5,Conservative,"$60,000 to $84,999",0,-1,4,72500,,3 = Moderately concerned,2 = Slightly concerned
16275407,38,,2025-08-14 8:57:19,,1.15,7h99xur,0,,Yes,95112,pa707657c,pb0f9383a,pffe2652f,2025/08/14 1:55 AM,United States,6c6164cca363fd1b57a846b3738a19062f7bfad9,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Drones,Facial recognition technology",3 = Moderately concerned,3 = Sometimes,3 = Somewhat familiar,4 = Very aware,4 = Very aware,4 = Very aware,4 = Very aware,4 = Very aware,3 = Neutral / Not sure,4 = Somewhat support,No,4 = Very concerned,3 = Equally both,"Police,Local government",Police department,3 = Moderately important,4 = Likely,3 = Neutral,4 = Somewhat agree,4 = Somewhat agree,"Require more transparency,Require public approval,Keep things as they are",White,App,30,female,completedBachelorsDegree,1995,5,Moderate,"$60,000 to $84,999",1,0,4,72500,,3 = Moderately concerned,2 = Slightly concerned
16275434,38,,2025-08-14 8:59:53,,8.83,7h99xur,0,,Yes,95446,pa35f93cf,pfff5ddad,pffe2652f,2025/08/14 1:53 AM,United States,f141d528114dc1f71ada920e151527b655896c3b,smartphone,"Surveillance/security cameras,Drones,Facial recognition technology,ShotSpotter or gunshot detection",4 = Very concerned,5 = All the time,3 = Somewhat familiar,2 = Slightly aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Strongly oppose,1 = Strongly oppose,Not sure,5 = Extremely concerned,4 = Mostly for social control,No one — it shouldn’t be collected,Community members,5 = Absolutely essential,1 = Very unlikely,1 = Strongly disagree,3 = Neutral,1 = Strongly disagree,Ban them,White,Flyer,44,male,completedOnlyHighSchoolOrTheEquivalent,1981,2,Moderate,"$85,000 to $114,999",0,0,5,100000,,5 = Extremely concerned,5 = Extremely concerned
16275507,38,,2025-08-14 9:10:15,,6.67,7h99xur,0,,No,94598,pb3ca6680,pbfcc920a,pffe2652f,2025/08/14 2:03 AM,United States,68cc05d9f92d3d623d606b1e77734af372170ce9,smartphone,None of the above,1 = Not at all concerned,3 = Sometimes,1 = Not at all familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,2 = Somewhat oppose,3 = Neutral / Not sure,No,1 = Not concerned at all,3 = Equally both,No one — it shouldn’t be collected,Community members,4 = Very important,4 = Likely,1 = Strongly disagree,1 = Strongly disagree,3 = Neutral,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",Hispanic or Latino,Online,40,female,completedMastersDegree,1985,6,Conservative,"$200,000 or more",1,-1,8,225000,,1 = Not at all concerned,1 = Not at all concerned
16275535,38,,2025-08-14 9:16:34,,4.2,7h99xur,0,,No,94403,pb6985a75,pb0f7f95d,pffe2652f,2025/08/14 2:14 AM,United States,d946e96d43a708e70ebee89287e9c19b0c85c9c8,smartphone,None of the above,3 = Moderately concerned,2 = Rarely,2 = Slightly familiar,3 = Somewhat aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Strongly oppose,1 = Strongly oppose,Not sure,4 = Very concerned,5 = Entirely for social control,No one — it shouldn’t be collected,"Community organizations,Community members",5 = Absolutely essential,5 = Very likely,1 = Strongly disagree,5 = Strongly agree,2 = Somewhat disagree,"Ban them,Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval","Asian or Pacific Islander,White",Prime opinion,42,female,completedProfessionalDegree,1983,7,Very liberal,"$85,000 to $114,999",1,2,5,100000,,5 = Extremely concerned,5 = Extremely concerned
16275543,38,,2025-08-14 9:19:04,,7.58,7h99xur,0,,No,95131,pf37241ef,pbce2c79b,pffe2652f,2025/08/14 2:15 AM,United States,79112bd4c5ac28815fe75e6eaf3bc6e6a554ec75,smartphone,"Surveillance/security cameras,Speed Cameras",2 = Slightly concerned,2 = Rarely,1 = Not at all familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,2 = Somewhat oppose,1 = Strongly oppose,No,4 = Very concerned,4 = Mostly for social control,No one — it shouldn’t be collected,"Local elected officials,Community organizations,Community members",4 = Very important,4 = Likely,1 = Strongly disagree,4 = Somewhat agree,2 = Somewhat disagree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",Hispanic or Latino,FreeCash,41,male,completedOnlyHighSchoolOrTheEquivalent,1984,2,Moderate,"$40,000 to $59,999",0,0,3,50000,,4 = Very concerned,5 = Extremely concerned
16275548,38,,2025-08-14 9:20:33,,5.25,7h99xur,0,,Yes,94133,pc20b5ed0,pd0b0e67f,pffe2652f,2025/08/14 2:18 AM,United States,4034100517752615f3bbe1dae09fd9a7615faf37,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Speed Cameras",3 = Moderately concerned,4 = Often,3 = Somewhat familiar,2 = Slightly aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,3 = Neutral / Not sure,2 = Somewhat oppose,Yes,3 = Moderately concerned,4 = Mostly for social control,Federal Government,Community members,3 = Moderately important,3 = Unsure,1 = Strongly disagree,4 = Somewhat agree,3 = Neutral,"Require more safeguards (e.g., limits on use, access, or retention)",Hispanic or Latino,Survey website,36,male,completedBachelorsDegree,1989,5,Moderate,"$60,000 to $84,999",0,0,4,72500,Uncomfortable not at ease regardless if I was doing wrong or not,2 = Slightly concerned,4 = Very concerned
16275564,38,,2025-08-14 9:25:27,,6.05,7h99xur,0,,Yes,95127,pda0b4795,pfd6bbf05,pffe2652f,2025/08/14 2:23 AM,United States,ba1c0fdf719623bf2148b380168d48d1c441339e,smartphone,"Automatic License Plate Readers (ALPRs),ShotSpotter or gunshot detection,Speed Cameras",2 = Slightly concerned,5 = All the time,4 = Very familiar,2 = Slightly aware,2 = Slightly aware,1 = Not at all aware,1 = Not at all aware,3 = Somewhat aware,3 = Neutral / Not sure,2 = Somewhat oppose,Yes,4 = Very concerned,4 = Mostly for social control,No one — it shouldn’t be collected,Community organizations,5 = Absolutely essential,5 = Very likely,1 = Strongly disagree,5 = Strongly agree,1 = Strongly disagree,"Ban them,Reduce use,Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval","Hispanic or Latino,White",Mypoints,44,female,completedBachelorsDegree,1981,5,Liberal,"$40,000 to $59,999",1,1,3,50000,It's just like when you go to a store and security or the people working at the store follow you surveillance like that also just makes me like I'm being followed,4 = Very concerned,5 = Extremely concerned
16275567,38,,2025-08-14 9:26:06,,5.72,7h99xur,0,,No,94590,pf1e2ebe4,pffd7490e,pffe2652f,2025/08/14 2:24 AM,United States,9fb682adf030220b03c5ba34536fabb356aa47dd,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Speed Cameras",2 = Slightly concerned,1 = Never,3 = Somewhat familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,3 = Neutral / Not sure,2 = Somewhat oppose,No,4 = Very concerned,4 = Mostly for social control,"Police,Local government,Federal Government",Community members,5 = Absolutely essential,5 = Very likely,1 = Strongly disagree,5 = Strongly agree,2 = Somewhat disagree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",Hispanic or Latino,Instagram,19,female,completedOnlyHighSchoolOrTheEquivalent,2006,2,Liberal,"$60,000 to $84,999",1,1,4,72500,,5 = Extremely concerned,5 = Extremely concerned
16275571,38,,2025-08-14 9:28:33,,6.73,7h99xur,0,,Not sure,94513,pa0003c9f,pb32e8964,pffe2652f,2025/08/14 2:24 AM,United States,93641ba27b56d1d85a1750f2ef9f2da2a01f58da,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Drones,Speed Cameras",3 = Moderately concerned,5 = All the time,4 = Very familiar,5 = Fully aware,5 = Fully aware,4 = Very aware,3 = Somewhat aware,1 = Not at all aware,3 = Neutral / Not sure,4 = Somewhat support,Prefer not to say,5 = Extremely concerned,1 = Entirely for public safety,"Police,Local government,Private companies,Federal Government","Local elected officials,Police department,Community organizations,Community members",3 = Moderately important,3 = Unsure,1 = Strongly disagree,3 = Neutral,4 = Somewhat agree,"Ban them,Reduce use,Require more safeguards (e.g., limits on use, access, or retention),Require public approval,Keep things as they are",Asian or Pacific Islander,Survey Free Cash,40,male,completedOnlyHighSchoolOrTheEquivalent,1985,2,Moderate,"$60,000 to $84,999",0,0,4,72500,,4 = Very concerned,4 = Very concerned
16275622,38,,2025-08-14 9:42:32,,3.83,7h99xur,0,,Not sure,94596,pf027319a,pa4f227e5,pffe2652f,2025/08/14 2:40 AM,United States,4dae36395bc8d0c89e7a02ead8d0cb4177ef0995,desktop,"Surveillance/security cameras,Facial recognition technology,Speed Cameras",3 = Moderately concerned,2 = Rarely,2 = Slightly familiar,1 = Not at all aware,2 = Slightly aware,4 = Very aware,3 = Somewhat aware,1 = Not at all aware,3 = Neutral / Not sure,3 = Neutral / Not sure,No,4 = Very concerned,2 = Mostly for public safety,"Police,Local government","Local elected officials,Police department",4 = Very important,2 = Unlikely,1 = Strongly disagree,3 = Neutral,4 = Somewhat agree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency",Asian or Pacific Islander,Survey Junkie,55,female,completedBachelorsDegree,1970,5,Moderate,"$115,000 to $149,999",1,0,6,132500,,1 = Not at all concerned,1 = Not at all concerned
16275636,38,,2025-08-14 9:45:40,,0,gsf76i9,0,,,,pf25c59f2,pb63a64f0,pffe2652f,2025/08/14 2:37 AM,United States,169102748881667eb8b0ea147487dea806bd612e,smartphone,,,,,,,,,,,,,,,,,,,,,,,,,55,female,completedTradeTechicalVocationalTraing,1970,3,Liberal,"$60,000 to $84,999",1,1,4,72500,,,
16275657,38,,2025-08-14 9:50:20,,3.18,7h99xur,0,,Yes,95616,paeb4ced8,pb4462f46,pffe2652f,2025/08/14 2:44 AM,United States,da9f69a4235e2a62f2c15e04b2c2f3edd83cebcf,desktop,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Facial recognition technology",5 = Extremely concerned,4 = Often,5 = Extremely familiar,5 = Fully aware,4 = Very aware,5 = Fully aware,5 = Fully aware,4 = Very aware,5 = Strongly support,5 = Strongly support,No,5 = Extremely concerned,4 = Mostly for social control,"Police,Private companies,Federal Government","Local elected officials,Police department",5 = Absolutely essential,5 = Very likely,5 = Strongly agree,5 = Strongly agree,5 = Strongly agree,"Require public approval,Increase use",White,Positly,25,male,completedMastersDegree,2000,6,Very conservative,"$115,000 to $149,999",0,-2,6,132500,,4 = Very concerned,5 = Extremely concerned
16275660,38,,2025-08-14 9:51:32,,4.15,7h99xur,0,,Yes,95111,pacc4775d,pa9448d57,pffe2652f,2025/08/14 2:49 AM,United States,580060008438d532a0fb8f487d988a9bcf30476b,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Drones,Facial recognition technology,Speed Cameras",5 = Extremely concerned,4 = Often,1 = Not at all familiar,2 = Slightly aware,2 = Slightly aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,2 = Somewhat oppose,5 = Strongly support,Yes,5 = Extremely concerned,4 = Mostly for social control,"Police,Private companies,Federal Government","Local elected officials,Community organizations,Community members",5 = Absolutely essential,1 = Very unlikely,1 = Strongly disagree,5 = Strongly agree,5 = Strongly agree,"Ban them,Reduce use,Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval","Black or African American,White",Inbox,37,female,completedOnlyHighSchoolOrTheEquivalent,1988,2,Conservative,"Less than $9,999",1,-1,0,4500,I didn't agree with the surveillance and had to pay for false accusations.,5 = Extremely concerned,5 = Extremely concerned
16275755,38,,2025-08-14 10:20:16,,2.2,7h99xur,0,,Yes,94566,pc1840f6c,pd2a54e11,pffe2652f,2025/08/14 3:19 AM,United States,c83e5a21a848b9f9a795fef465abc6f97b8df789,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Facial recognition technology,Speed Cameras",3 = Moderately concerned,4 = Often,5 = Extremely familiar,2 = Slightly aware,5 = Fully aware,2 = Slightly aware,2 = Slightly aware,3 = Somewhat aware,2 = Somewhat oppose,1 = Strongly oppose,Yes,4 = Very concerned,3 = Equally both,Police,Community members,4 = Very important,5 = Very likely,1 = Strongly disagree,5 = Strongly agree,1 = Strongly disagree,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency",Hispanic or Latino,Instagram,39,male,completedBachelorsDegree,1986,5,Moderate,"$200,000 or more",0,0,8,225000,It limits the privacy you can expect,4 = Very concerned,5 = Extremely concerned
16275772,38,,2025-08-14 10:24:08,,7.42,7h99xur,0,,Yes,95492,pf5764bfb,pbcc5ff2d,pffe2652f,2025/08/14 3:20 AM,United States,9020fd835ba4ef4e6179aaef789be884ccc04266,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs)",2 = Slightly concerned,4 = Often,2 = Slightly familiar,3 = Somewhat aware,1 = Not at all aware,2 = Slightly aware,3 = Somewhat aware,1 = Not at all aware,4 = Somewhat support,3 = Neutral / Not sure,No,1 = Not concerned at all,3 = Equally both,"Local government,Federal Government","Community organizations,Community members",3 = Moderately important,3 = Unsure,4 = Somewhat agree,1 = Strongly disagree,4 = Somewhat agree,Keep things as they are,Hispanic or Latino,Positly,33,male,completedOnlyHighSchoolOrTheEquivalent,1992,2,Liberal,"$25,000 to $39,999",0,1,2,32500,,1 = Not at all concerned,1 = Not at all concerned
16275781,38,,2025-08-14 10:27:52,,2.65,7h99xur,0,,Yes,94618,pc090e261,pd24f9d36,pffe2652f,2025/08/14 3:26 AM,United States,dfd421d37fb231b9291e6c79c1553ef2a40f6fff,smartphone,"Surveillance/security cameras,Speed Cameras",3 = Moderately concerned,3 = Sometimes,3 = Somewhat familiar,2 = Slightly aware,1 = Not at all aware,3 = Somewhat aware,1 = Not at all aware,1 = Not at all aware,2 = Somewhat oppose,4 = Somewhat support,Not sure,2 = Slightly concerned,3 = Equally both,Police,Community members,4 = Very important,4 = Likely,2 = Somewhat disagree,5 = Strongly agree,2 = Somewhat disagree,"Reduce use,Require more transparency,Require public approval",,Instagram,20,female,completedBachelorsDegree,2005,5,Moderate,"Less than $9,999",1,0,0,4500,,4 = Very concerned,2 = Slightly concerned
16275789,38,,2025-08-14 10:29:31,,5.22,7h99xur,0,,No,94087,pb0ad0aca,pd16bca21,pffe2652f,2025/08/14 3:27 AM,United States,eaf7c4f9e21d6faed0576e86f8a101b725c04a8f,smartphone,"Surveillance/security cameras,Speed Cameras",3 = Moderately concerned,3 = Sometimes,2 = Slightly familiar,2 = Slightly aware,1 = Not at all aware,3 = Somewhat aware,3 = Somewhat aware,3 = Somewhat aware,3 = Neutral / Not sure,3 = Neutral / Not sure,No,3 = Moderately concerned,4 = Mostly for social control,Police,Community members,3 = Moderately important,5 = Very likely,3 = Neutral,3 = Neutral,3 = Neutral,"Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",White,Email,36,female,completedBachelorsDegree,1989,5,Very liberal,"$40,000 to $59,999",1,2,3,50000,,4 = Very concerned,3 = Moderately concerned
16275794,38,,2025-08-14 10:30:19,,12.65,7h99xur,0,,Yes,94539,pa6f31162,pcfe872b5,pffe2652f,2025/08/14 3:27 AM,United States,629011008073b5ff74152d42274124b125119b96,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Speed Cameras",2 = Slightly concerned,3 = Sometimes,1 = Not at all familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,2 = Slightly aware,1 = Not at all aware,4 = Somewhat support,4 = Somewhat support,No,2 = Slightly concerned,3 = Equally both,"Police,Local government,Federal Government",Police department,3 = Moderately important,4 = Likely,2 = Somewhat disagree,4 = Somewhat agree,4 = Somewhat agree,"Require more transparency,Require public approval",Asian or Pacific Islander,Survey junkie,45,female,completedMastersDegree,1980,6,Moderate,"$115,000 to $149,999",1,0,6,132500,,2 = Slightly concerned,2 = Slightly concerned
16275811,38,,2025-08-14 10:37:12,,7.22,7h99xur,0,,Yes,94102,pfa6fc2f2,pd68c41bf,pffe2652f,2025/08/14 3:35 AM,United States,55dacd8badb0fbc442833eec772945a0cf16e381,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Drones,Speed Cameras",2 = Slightly concerned,4 = Often,2 = Slightly familiar,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,1 = Strongly oppose,1 = Strongly oppose,Yes,3 = Moderately concerned,4 = Mostly for social control,"Federal Government,No one — it shouldn’t be collected","Community organizations,Community members",5 = Absolutely essential,5 = Very likely,1 = Strongly disagree,5 = Strongly agree,3 = Neutral,"Require more safeguards (e.g., limits on use, access, or retention),Require public approval",White,5 surveys app,29,female,completedAssociateDegreeOnly,1996,4,Conservative,"$115,000 to $149,999",1,-1,6,132500,I have felt uncomfortable by the fact of police drones flying over my backyard i don't understand how that is legal,5 = Extremely concerned,5 = Extremely concerned
16275827,38,,2025-08-14 10:43:30,,10.27,7h99xur,0,,Not sure,95403,pa22dcf74,pf6470d8d,pffe2652f,2025/08/14 3:36 AM,United States,044b540b73b763eae69a15625b816c770dbf9699,smartphone,"Surveillance/security cameras,Automatic License Plate Readers (ALPRs),Facial recognition technology,Speed Cameras",3 = Moderately concerned,4 = Often,3 = Somewhat familiar,5 = Fully aware,1 = Not at all aware,1 = Not at all aware,1 = Not at all aware,2 = Slightly aware,1 = Strongly oppose,1 = Strongly oppose,Yes,5 = Extremely concerned,3 = Equally both,No one — it shouldn’t be collected,Community members,4 = Very important,4 = Likely,1 = Strongly disagree,4 = Somewhat agree,3 = Neutral,"Reduce use,Require more safeguards (e.g., limits on use, access, or retention),Require more transparency,Require public approval",Hispanic or Latino,Top survey app,52,male,completedOnlyHighSchoolOrTheEquivalent,1973,2,Liberal,"$60,000 to $84,999",0,1,4,72500,You feel violated even though you're not doing anything wrong. Just knowing that you're being watched is unnerving,2 = Slightly concerned,5 = Extremely concerned
